id,date,first_name,last_name,email,gender,ip_address,country,price_paid,tax
1,3/28/2021,Marylin,Alders,malders0@shop-pro.jp,Male,160.119.8.119,Canada,$5.36 ,
2,3/19/2021,Hinda,Harridge,hharridge1@gnu.org,Female,210.51.172.132,Canada,$8.32 ,
3,3/17/2021,Erl,Kilminster,ekilminster2@etsy.com,Male,213.8.101.145,United States,$3.73 ,20
4,3/19/2021,Grata,Brantl,gbrantl3@umn.edu,Female,5.140.237.101,United States,$3.70 ,20
5,3/24/2021,Kanya,Beasant,kbeasant4@jigsy.com,Male,106.252.162.233,Morocco,$9.24 ,20
6,3/25/2021,Titos,Braybrooke,tbraybrooke5@umn.edu,Female,173.100.21.179,United States,$5.82 ,
7,3/14/2021,Ava,Kencott,akencott6@phoca.cz,Female,118.251.45.43,Canada,$6.29 ,
8,3/8/2021,Codi,Feasley,cfeasley7@ed.gov,Male,26.190.191.249,France,$3.01 ,20
9,3/9/2021,Waylon,Heersema,wheersema8@tumblr.com,Male,63.242.174.112,Canada,$3.70 ,20
10,3/23/2021,Guglielma,Gookes,ggookes9@amazon.co.uk,Male,169.100.6.0,France,$9.05 ,
11,3/11/2021,Lief,Woodcraft,lwoodcrafta@sitemeter.com,Male,201.76.240.51,Canada,$5.71 ,
12,3/16/2021,Bailie,Wyman,bwymanb@lulu.com,Male,222.60.138.222,United States,$3.15 ,20
13,3/5/2021,Janice,Morillas,jmorillasc@miibeian.gov.cn,Female,24.25.198.252,Canada,$5.30 ,20
14,3/24/2021,Cull,Vassie,cvassied@unblog.fr,,18.203.61.94,France,$5.97 ,20
15,3/21/2021,Oralie,Maryon,omaryone@va.gov,Female,215.248.16.198,United States,$4.53 ,20
16,3/24/2021,Julina,Faint,jfaintf@amazon.co.jp,Female,96.193.4.151,United States,$4.10 ,20
17,3/27/2021,Eve,Allaway,eallawayg@ebay.co.uk,Female,184.107.59.156,United States,$6.44 ,20
18,3/20/2021,Esta,Boulden,ebouldenh@posterous.com,,220.109.140.190,United States,$3.16 ,20
19,3/16/2021,Judye,Behan,jbehani@google.es,Female,27.196.2.18,France,$4.90 ,20
20,3/1/2021,Sibeal,Mounch,smounchj@rakuten.co.jp,Male,218.17.7.177,Canada,$5.82 ,20
21,3/12/2021,Jeffrey,Stanman,jstanmank@latimes.com,Female,3.110.64.192,France,$5.55 ,20
22,3/5/2021,Mendie,Ayer,mayerl@squarespace.com,Male,166.97.124.52,Canada,$4.86 ,20
23,3/3/2021,Muriel,Pexton,mpextonm@bing.com,Male,113.10.187.192,Canada,$6.72 ,20
24,3/9/2021,Ermanno,Ghost,eghostn@webnode.com,Male,144.170.210.226,Canada,$9.79 ,0
25,3/2/2021,Tod,Willets,twilletso@artisteer.com,Male,101.42.146.88,Canada,$8.23 ,0
26,3/14/2021,Nobe,Stobbart,nstobbartp@php.net,Female,126.155.177.249,United States,$9.90 ,0
27,3/27/2021,Elyse,Glaysher,eglaysherq@mayoclinic.com,,165.91.52.42,United States,$5.88 ,0
28,3/25/2021,Staford,London,slondonr@sphinn.com,Male,247.235.26.222,United States,$3.06 ,20
29,3/3/2021,Willabella,Robbins,wrobbinss@tinyurl.com,Female,129.71.210.8,,$9.52 ,20
30,3/2/2021,Edi,Petru,epetrut@census.gov,Male,117.48.20.14,United States,$6.76 ,20
